date,code,action,shares,price,fee
2025-01-02,002628.SZ,BUY,100,16.7127,0.33425400000000005
2025-01-02,002629.SZ,BUY,100,15.9164,0.318328
2025-01-02,002631.SZ,BUY,100,19.2725,0.38545
2025-01-02,002633.SZ,BUY,100,16.4344,0.32868800000000004
2025-01-02,002638.SZ,BUY,100,11.2559,0.22511800000000004
2025-01-02,002646.SZ,BUY,100,12.0456,0.240912
2025-01-02,002652.SZ,BUY,100,14.2001,0.28400200000000003
2025-01-02,002659.SZ,BUY,200,9.1922,0.367688
2025-01-02,002662.SZ,BUY,100,18.9163,0.378326
2025-01-02,002663.SZ,BUY,100,16.245,0.3249
2025-01-02,002671.SZ,BUY,100,18.2472,0.36494400000000005
2025-01-02,002674.SZ,BUY,100,13.1581,0.263162
2025-01-02,002678.SZ,BUY,100,12.5921,0.251842
2025-01-02,002679.SZ,BUY,100,14.546,0.29092
2025-01-02,002682.SZ,BUY,100,11.0744,0.22148800000000002
2025-01-02,002689.SZ,BUY,100,12.9862,0.259724
2025-01-02,002691.SZ,BUY,200,8.5763,0.343052
2025-01-02,002692.SZ,BUY,100,16.0887,0.321774
2025-01-02,002694.SZ,BUY,100,18.4764,0.369528
2025-01-02,002696.SZ,BUY,100,17.4682,0.349364
2025-01-02,002713.SZ,BUY,100,15.546,0.31092
2025-01-02,002716.SZ,BUY,100,12.9366,0.258732
2025-01-02,002719.SZ,BUY,100,12.8404,0.256808
2025-01-02,002721.SZ,BUY,200,8.0101,0.320404
2025-01-02,002722.SZ,BUY,100,15.2574,0.30514800000000003
2025-01-02,002723.SZ,BUY,100,19.4793,0.389586
2025-01-02,002724.SZ,BUY,100,10.186,0.20372
2025-01-02,002731.SZ,BUY,100,16.6169,0.332338
2025-01-02,002732.SZ,BUY,100,17.4579,0.349158
2025-01-02,002736.SZ,BUY,100,13.3395,0.26678999999999997
2025-01-02,002742.SZ,BUY,100,19.1283,0.382566
2025-01-02,002743.SZ,BUY,100,13.4704,0.269408
2025-01-02,002748.SZ,BUY,100,17.0943,0.341886
2025-01-02,002752.SZ,BUY,100,13.1299,0.262598
2025-01-02,002760.SZ,BUY,100,16.8125,0.33625
2025-01-02,002763.SZ,BUY,100,17.1359,0.342718
2025-01-02,002765.SZ,BUY,100,18.2643,0.365286
2025-01-02,002766.SZ,BUY,100,11.393,0.22786000000000003
2025-01-02,002772.SZ,BUY,100,17.3025,0.34604999999999997
2025-01-02,002774.SZ,BUY,200,8.303,0.33212
2025-01-02,002775.SZ,BUY,100,17.8836,0.35767200000000005
2025-01-02,002787.SZ,BUY,100,16.6991,0.33398200000000006
2025-01-02,002789.SZ,BUY,100,15.7636,0.31527200000000005
2025-01-02,002793.SZ,BUY,100,13.6017,0.272034
2025-01-02,002795.SZ,BUY,100,17.0395,0.34079000000000004
2025-01-02,002797.SZ,BUY,100,13.0475,0.26095
2025-01-02,002798.SZ,BUY,100,13.2207,0.26441400000000004
2025-01-02,002806.SZ,BUY,100,19.2675,0.38534999999999997
2025-01-02,002807.SZ,BUY,200,6.5466,0.261864
2025-01-02,002808.SZ,BUY,200,6.7312,0.269248
2025-01-02,002811.SZ,BUY,100,15.9693,0.319386
2025-01-02,002816.SZ,BUY,100,14.6614,0.29322800000000004
2025-01-02,002822.SZ,BUY,200,8.017,0.32067999999999997
2025-01-02,002826.SZ,BUY,100,10.9226,0.218452
2025-01-02,002828.SZ,BUY,100,14.9251,0.298502
2025-01-02,002839.SZ,BUY,300,6.3308,0.379848
2025-01-02,002842.SZ,BUY,100,17.5559,0.35111800000000004
2025-01-02,002848.SZ,BUY,200,7.5544,0.30217600000000006
2025-01-02,002855.SZ,BUY,100,19.1259,0.382518
2025-01-02,002856.SZ,BUY,100,10.9943,0.21988600000000003
2025-01-02,002861.SZ,BUY,100,17.572,0.35144
2025-01-02,002863.SZ,BUY,200,7.7901,0.311604
2025-01-02,002872.SZ,BUY,200,6.7819,0.271276
2025-01-02,002882.SZ,BUY,100,17.8672,0.357344
2025-01-02,002893.SZ,BUY,100,17.2384,0.344768
2025-01-02,002898.SZ,BUY,100,10.7117,0.21423400000000004
2025-01-02,002900.SZ,BUY,100,16.7284,0.33456800000000003
2025-01-02,002905.SZ,BUY,100,18.6869,0.373738
2025-01-02,002907.SZ,BUY,100,13.0387,0.26077400000000006
2025-01-02,002909.SZ,BUY,100,14.8349,0.296698
2025-01-02,002910.SZ,BUY,200,7.5669,0.30267600000000006
2025-01-02,002921.SZ,BUY,100,15.8298,0.31659600000000004
2025-01-02,002926.SZ,BUY,200,8.3807,0.33522799999999997
2025-01-02,002928.SZ,BUY,100,17.2779,0.34555800000000003
2025-01-02,002936.SZ,BUY,600,2.8596,0.343152
2025-01-02,002939.SZ,BUY,200,8.5329,0.341316
2025-01-02,002941.SZ,BUY,100,11.2739,0.22547799999999998
2025-01-02,002945.SZ,BUY,100,15.013,0.30026
2025-01-02,002946.SZ,BUY,100,15.2548,0.30509600000000003
2025-01-02,002948.SZ,BUY,300,5.2249,0.313494
2025-01-02,002950.SZ,BUY,100,14.2652,0.285304
2025-01-02,002951.SZ,BUY,200,7.4823,0.299292
2025-01-02,002957.SZ,BUY,100,15.7606,0.315212
2025-01-02,002958.SZ,BUY,500,3.4439,0.34439000000000003
2025-01-02,002961.SZ,BUY,100,14.9861,0.29972200000000004
2025-01-02,002963.SZ,BUY,100,11.7128,0.234256
2025-01-02,002966.SZ,BUY,100,10.8332,0.216664
