TRADE_DT,Value
2017-10-30,5942303.035622183
2017-10-31,5933941.648197242
2017-11-01,5871474.391581233
2017-11-02,5821768.062700287
2017-11-03,5854269.603653759
2017-11-06,5923133.749083267
2017-11-07,5700883.733360547
2017-11-08,5758358.136806931
2017-11-09,5750927.416062186
2017-11-10,5792903.010193086
2017-11-13,5749424.408109357
2017-11-14,5720845.562039845
2017-11-15,5694918.378181387
2017-11-16,5544620.499043031
2017-11-17,5587031.490050326
2017-11-20,5655961.01941635
2017-11-21,5724546.5629845215
2017-11-22,5566877.319709084
2017-11-23,5582471.128857644
2017-11-24,5485270.5689522065
2017-11-27,5541177.5017272625
2017-11-28,5410375.589554803
2017-11-29,5344959.014724906
2017-11-30,5370711.905810201
2017-12-01,5322963.372020471
2017-12-04,5205284.0628491035
2017-12-05,5223415.738205325
2017-12-06,5198302.806119121
2017-12-07,5243138.215260101
2017-12-08,5309219.090550784
2017-12-11,5256649.816618527
2017-12-12,5276897.377093816
2017-12-13,5259619.72970061
2017-12-14,5219556.728477879
2017-12-15,5205009.382336936
2017-12-18,5272038.83315023
2017-12-19,5196685.4505466055
2017-12-20,5221935.031769417
2017-12-21,5219385.423631617
2017-12-22,5149600.735777392
2017-12-25,5220393.234202982
2017-12-26,5168392.206865282
2017-12-27,5202436.5688058045
2017-12-28,5281757.649450594
2017-12-29,5368912.48923539
2018-01-02,5383171.568157229
2018-01-03,5407721.837526991
2018-01-04,5467163.608593794
2018-01-05,5507980.226835744
2018-01-08,5495935.302578462
2018-01-09,5470430.046391361
2018-01-10,5497135.876241009
2018-01-11,5506827.039342059
2018-01-12,5444251.516304246
2018-01-15,5483179.054830423
2018-01-16,5455157.214499158
2018-01-17,5499782.610893166
2018-01-18,5464889.756223192
2018-01-19,5497449.432363717
2018-01-22,5568772.869499143
2018-01-23,5572110.451334164
2018-01-24,5598486.825878453
2018-01-25,5602696.933595565
2018-01-26,5510167.912971943
2018-01-29,5476764.454986561
2018-01-30,5438830.514100005
2018-01-31,5253409.603874063
2018-02-01,5263984.992929645
2018-02-02,5263670.897244048
2018-02-05,4957266.109100951
2018-02-06,4900272.20038534
2018-02-07,4914361.379509414
2018-02-08,4677252.835446465
2018-02-09,4773407.898834878
2018-02-12,4802430.148921554
2018-02-13,4823504.323473729
2018-02-14,4910491.870954699
2018-02-22,4937562.121755666
2018-02-23,5016651.616150416
2018-02-26,4960754.046761962
2018-02-27,4956654.950147329
2018-02-28,4973734.152283314
2018-03-01,4979814.797244903
2018-03-02,4964653.648522752
2018-03-05,5091902.501608817
2018-03-06,5084352.505540216
2018-03-07,5115809.945644577
2018-03-08,5139265.253602597
2018-03-09,5166408.05986534
2018-03-12,5155862.527127339
2018-03-13,5092634.243706196
2018-03-14,5079983.861543592
2018-03-15,5076062.463441003
2018-03-16,5059854.661104701
2018-03-19,5098165.851858701
2018-03-20,5099483.932506159
2018-03-21,5088534.603290565
2018-03-22,4815956.582224218
2018-03-23,4834371.93574044
2018-03-26,4949751.914486687
2018-03-27,4904693.979038122
2018-03-28,4984873.161459304
2018-03-29,4995206.927242294
2018-03-30,4977364.661057483
2018-04-02,4919786.991287306
2018-04-03,4907229.258708993
2018-04-04,4910875.415219662
2018-04-09,4960118.079441162
2018-04-10,4966433.412770229
2018-04-11,4882581.013989985
2018-04-12,4859995.458518772
2018-04-13,4790410.338932401
2018-04-16,4705343.354807235
2018-04-17,4753044.779597528
2018-04-18,4766670.6794613395
2018-04-19,4674206.653078559
2018-04-20,4494803.582317582
2018-04-23,4601137.173713395
2018-04-24,4597802.570176282
2018-04-25,4508243.569176108
2018-04-26,4505800.436979331
2018-04-27,4464745.978631268
2018-05-02,4487816.584541725
2018-05-03,4508137.687735906
2018-05-04,4593829.411839746
2018-05-07,4657327.887193106
2018-05-08,4489292.328084593
2018-05-09,4533804.594830115
2018-05-10,4510467.703674839
2018-05-11,4473173.779099463
2018-05-14,4512432.6604503505
2018-05-15,4500253.048428675
2018-05-16,4493697.066447432
2018-05-17,4513244.724453563
2018-05-18,4551661.74102034
2018-05-21,4557418.363030151
2018-05-22,4482302.675879485
2018-05-23,4494956.9577626735
2018-05-24,4431865.0685929665
2018-05-25,4418433.253548582
