TRADE_DT,Value
2017-05-08,7087712.895109377
2017-05-09,6934133.122864445
2017-05-10,6892311.932638964
2017-05-11,6884433.874635276
2017-05-12,6797666.905196404
2017-05-15,7032582.882358031
2017-05-16,7110963.974296841
2017-05-17,7102521.650672195
2017-05-18,7056255.560400234
2017-05-19,6970045.097870609
2017-05-22,6590582.924496282
2017-05-23,6613529.568052869
2017-05-24,6685204.582776102
2017-05-25,6700013.753154839
2017-05-26,6590263.211216986
2017-05-31,6188849.493020828
2017-06-01,6297960.311061156
2017-06-02,6400593.433916751
2017-06-05,6458423.934235914
2017-06-06,6410653.959228682
2017-06-07,6486163.222184673
2017-06-08,6559661.436792889
2017-06-09,6395666.151616042
2017-06-12,6587093.006833568
2017-06-13,6619804.27262828
2017-06-14,6782503.432527648
2017-06-15,6780975.913264849
2017-06-16,6862693.249055732
2017-06-19,6863036.581115012
2017-06-20,6714826.853831822
2017-06-21,6534515.019573537
2017-06-22,6538396.789240522
2017-06-23,6581601.719368398
2017-06-26,6574847.7190914545
2017-06-27,6499401.997192233
2017-06-28,6518158.164566717
2017-06-29,6541578.0584503785
2017-06-30,6623082.3078744635
2017-07-03,6647717.537041347
2017-07-04,6443352.243422245
2017-07-05,6556435.816446338
2017-07-06,6694198.426732385
2017-07-07,6796441.222166805
2017-07-10,6735283.242340819
2017-07-11,6895306.82365701
2017-07-12,6950416.3580298005
2017-07-13,6958080.936634608
2017-07-14,6846787.621554997
2017-07-17,7024983.193053494
2017-07-18,7102280.693823421
2017-07-19,7178875.958579032
2017-07-20,7148424.697487647
2017-07-21,7201240.6937828
2017-07-24,7199261.990681319
2017-07-25,7191305.255186507
2017-07-26,7414597.888730729
2017-07-27,7356486.789956301
2017-07-28,7353351.707036786
2017-07-31,7445873.571515939
2017-08-01,7424424.068521751
2017-08-02,7495436.069288903
2017-08-03,7419695.9381947005
2017-08-04,7514717.121760506
2017-08-07,7546227.270847614
2017-08-08,7557348.5278599905
2017-08-09,7433781.857240751
2017-08-10,7328531.573608982
2017-08-11,7546923.34660112
2017-08-14,7607904.197452962
2017-08-15,7686861.424666398
2017-08-16,7779030.556195758
2017-08-17,7790379.214496848
2017-08-18,7905478.391919086
2017-08-21,7857344.138358217
2017-08-22,7673619.326894951
2017-08-23,7648395.647544932
2017-08-24,7750406.200425061
2017-08-25,7827855.801231598
2017-08-28,7850227.07663058
2017-08-29,7394707.58653618
2017-08-30,7394027.276972307
2017-08-31,7397329.658031428
2017-09-01,7413967.050583201
2017-09-04,7445744.195391959
2017-09-05,7457894.494647067
2017-09-06,7475466.093172898
2017-09-07,7486082.044857194
2017-09-08,7497124.077454116
2017-09-11,7525381.453886118
2017-09-12,7312006.7484527845
2017-09-13,7328952.180750313
2017-09-14,7318971.242412569
2017-09-15,7322759.357525625
2017-09-18,7307301.941502878
2017-09-19,7297659.781765863
2017-09-20,7274610.7243171055
2017-09-21,7254582.040356969
2017-09-22,7215491.7994550085
2017-09-25,7241505.7045712415
2017-09-26,7298979.994912253
2017-09-27,7262501.537108236
2017-09-28,7310662.965528008
2017-09-29,7402934.518136119
2017-10-09,7374621.735311861
2017-10-10,7426957.140240829
2017-10-11,7434595.094393593
2017-10-12,7434279.696608156
2017-10-13,7332118.321748806
2017-10-16,7329920.4438161235
2017-10-17,7333213.120002517
2017-10-18,7296881.263758668
2017-10-19,7374478.141045664
2017-10-20,7347380.03847092
2017-10-23,7389810.606153549
2017-10-24,7362949.569511973
2017-10-25,7465759.294854166
2017-10-26,7375156.7957738405
2017-10-27,7222904.21954628
2017-10-30,7278531.059737085
2017-10-31,7045302.09887845
2017-11-01,7020812.257002589
2017-11-02,6929940.440348024
2017-11-03,7037065.371472837
2017-11-06,7144576.08121622
2017-11-07,7168169.29952956
2017-11-08,7177472.006889425
2017-11-09,7268505.78261886
2017-11-10,7275903.13670942
2017-11-13,7328306.4324032245
2017-11-14,7382174.753340169
2017-11-15,7453687.223691387
2017-11-16,7203591.73590462
2017-11-17,7286061.731973169
2017-11-20,7402221.826077407
