TRADE_DT,Value
2017-06-09,6328918.152910102
2017-06-12,6478612.799744667
2017-06-13,6571579.59396469
2017-06-14,6716178.979621159
2017-06-15,6743473.031531758
2017-06-16,6818686.111992519
2017-06-19,6793094.786100505
2017-06-20,6666556.8697403995
2017-06-21,6485890.333247161
2017-06-22,6484605.561319732
2017-06-23,6558919.649788331
2017-06-26,6584562.56868659
2017-06-27,6557670.114800709
2017-06-28,6585842.058875931
2017-06-29,6611287.844896383
2017-06-30,6665999.413175974
2017-07-03,6647830.333921377
2017-07-04,6398630.643376009
2017-07-05,6530395.239471066
2017-07-06,6728012.087108969
2017-07-07,6808740.59881245
2017-07-10,6699993.743821834
2017-07-11,6889678.775251735
2017-07-12,6917244.097144427
2017-07-13,6943663.114887558
2017-07-14,6822333.382220264
2017-07-17,6989705.847544872
2017-07-18,7080650.048928815
2017-07-19,7104199.745614982
2017-07-20,7092528.161730863
2017-07-21,7154574.687367567
2017-07-24,7136009.707706326
2017-07-25,7181847.848660109
2017-07-26,7338426.86603451
2017-07-27,7335556.6706548855
2017-07-28,7381953.155101681
2017-07-31,7411093.612099388
2017-08-01,6926266.492538116
2017-08-02,7023814.81513786
2017-08-03,6976244.087149658
2017-08-04,7065637.366117772
2017-08-07,7095516.543467614
2017-08-08,7107540.088530349
2017-08-09,6970276.729454298
2017-08-10,6875734.315388547
2017-08-11,7084878.711802612
2017-08-14,7193698.867700716
2017-08-15,7241179.102545131
2017-08-16,7309708.710517913
2017-08-17,7309313.913908001
2017-08-18,7430495.457884177
2017-08-21,7437005.824702654
2017-08-22,7201356.320081316
2017-08-23,7161802.748429345
2017-08-24,7237083.880156662
2017-08-25,7310342.996442639
2017-08-28,7296192.8118509995
2017-08-29,6613435.729983089
2017-08-30,6574076.6628567325
2017-08-31,6609411.403045764
2017-09-01,6649526.533104257
2017-09-04,6668991.996157922
2017-09-05,6668730.556531328
2017-09-06,6625710.353127822
2017-09-07,6653332.55225066
2017-09-08,6686563.397438177
2017-09-11,6730418.591313628
2017-09-12,6560107.896127668
2017-09-13,6489792.514873675
2017-09-14,6397999.764326652
2017-09-15,6432358.860198908
2017-09-18,6368649.163867771
2017-09-19,6406841.652661609
2017-09-20,6356572.529118293
2017-09-21,6368609.984718536
2017-09-22,6357281.706486283
2017-09-25,6422736.988583944
2017-09-26,6463017.408947341
2017-09-27,6426217.266323005
2017-09-28,6444714.939201343
2017-09-29,6553237.285593478
2017-10-09,6557709.946811591
2017-10-10,6625094.141694431
2017-10-11,6614308.708818234
2017-10-12,6676139.845560467
2017-10-13,6608297.369650844
2017-10-16,6570516.265815084
2017-10-17,6282332.465895522
2017-10-18,6218219.242935113
2017-10-19,6352389.812293093
2017-10-20,6320527.396151317
2017-10-23,6308175.149932805
2017-10-24,6251201.12423135
2017-10-25,6362400.0565778315
2017-10-26,6339053.493896173
2017-10-27,6261124.020708016
2017-10-30,6288607.010931763
2017-10-31,5837411.582513807
2017-11-01,5779655.258455926
2017-11-02,5736599.585835782
2017-11-03,5785225.941594632
2017-11-06,5822298.063769615
2017-11-07,5818092.636068923
2017-11-08,5796577.872064448
2017-11-09,5817477.67825945
2017-11-10,5804555.515823136
2017-11-13,5856064.775631107
2017-11-14,5882157.618966169
2017-11-15,5894709.53099038
2017-11-16,5736217.298532788
2017-11-17,5778743.988452111
2017-11-20,5873135.0227439655
2017-11-21,5864467.367482484
2017-11-22,5679910.616435498
2017-11-23,5705688.536997626
2017-11-24,5697206.261090124
2017-11-27,5792736.462007864
2017-11-28,5764793.657967275
2017-11-29,5622920.987714944
2017-11-30,5667086.132876778
2017-12-01,5712618.7486069575
2017-12-04,5633689.038950655
2017-12-05,5668113.748960727
2017-12-06,5576281.282477487
2017-12-07,5636600.990258051
2017-12-08,5713126.617290727
2017-12-11,5633720.388634981
2017-12-12,5704503.156705293
2017-12-13,5675985.124530314
2017-12-14,5600676.493964603
2017-12-15,5678246.351733944
2017-12-18,5733778.855820633
2017-12-19,5545418.07092793
2017-12-20,5572123.260753509
2017-12-21,5578250.168530018
2017-12-22,5529573.948621485
2017-12-25,5567499.216454763
2017-12-26,5537204.018757247
2017-12-27,5550603.378161795
2017-12-28,5616162.6408566
2017-12-29,5669299.210427386
2018-01-02,5742407.513271554
2018-01-03,5723212.412818199
2018-01-04,5740064.122475836
2018-01-05,5794996.66581394
2018-01-08,5786273.8140494
2018-01-09,5804219.7475242
2018-01-10,5555032.0649258485
2018-01-11,5545401.622002352
2018-01-12,5472867.6720387945
2018-01-15,5599652.93181608
2018-01-16,5619265.949355273
2018-01-17,5629050.514859511
2018-01-18,5592884.760689465
2018-01-19,5775500.719464375
2018-01-22,5833544.159469897
2018-01-23,5809213.9155396465
2018-01-24,5857570.431877442
2018-01-25,5877521.55145742
2018-01-26,5799022.812801033
2018-01-29,5758830.464713185
2018-01-30,5768109.319771252
2018-01-31,5515970.313568082
2018-02-01,5547197.082251685
2018-02-02,5578232.954881047
2018-02-05,5313507.084713798
2018-02-06,5243544.415183735
2018-02-07,5011843.783604502
2018-02-08,4759965.704808927
2018-02-09,4885920.560837314
2018-02-12,4979221.651567193
2018-02-13,5060230.611497133
2018-02-14,5152256.02928657
2018-02-22,5256496.473120169
2018-02-23,5401010.799410319
2018-02-26,5407425.785077752
2018-02-27,5384187.156326929
2018-02-28,5462811.282969211
2018-03-01,5406504.832213162
2018-03-02,5399365.248862411
